"DEP_TIME_BLK","CARRIER","DEST","ORIGIN","DAY_WEEK","Flight.Status","flight_status_predictions"
"1200-1259","DH","LGA","IAD","4","ontime","ontime"
"1700-1759","DH","LGA","IAD","4","ontime","ontime"
"1600-1659","DH","JFK","IAD","4","ontime","ontime"
"2100-2159","DH","JFK","IAD","4","ontime","ontime"
"1400-1459","DL","JFK","DCA","4","ontime","ontime"
"1400-1459","DL","LGA","DCA","4","ontime","ontime"
"2000-2059","DL","LGA","DCA","4","ontime","ontime"
"0600-0659","MQ","JFK","DCA","4","ontime","ontime"
"0900-0959","MQ","LGA","DCA","4","ontime","ontime"
"1300-1359","MQ","LGA","DCA","4","ontime","ontime"
"0900-0959","US","LGA","DCA","4","ontime","ontime"
"1300-1359","US","LGA","DCA","4","ontime","ontime"
"1500-1559","US","LGA","DCA","4","ontime","ontime"
"1700-1759","US","LGA","DCA","4","ontime","ontime"
"0700-0759","RU","EWR","BWI","4","ontime","ontime"
"1700-1759","DH","EWR","IAD","4","ontime","ontime"
"1200-1259","DH","EWR","IAD","4","ontime","ontime"
"1700-1759","RU","EWR","IAD","4","ontime","ontime"
"1400-1459","RU","EWR","DCA","4","ontime","ontime"
"1400-1459","DH","LGA","IAD","5","delayed","ontime"
"0600-0659","DH","LGA","IAD","5","ontime","ontime"
"1200-1259","DH","JFK","IAD","5","ontime","ontime"
"1400-1459","DH","JFK","IAD","5","ontime","ontime"
"2100-2159","DH","JFK","IAD","5","delayed","ontime"
"1200-1259","DL","LGA","DCA","5","ontime","ontime"
"1500-1559","MQ","JFK","DCA","5","ontime","ontime"
"0600-0659","MQ","JFK","DCA","5","ontime","ontime"
"0800-0859","UA","LGA","IAD","5","ontime","ontime"
"1500-1559","US","LGA","DCA","5","ontime","ontime"
"2100-2159","US","LGA","DCA","5","ontime","ontime"
"0700-0759","RU","EWR","BWI","5","ontime","ontime"
"1300-1359","CO","EWR","DCA","5","ontime","ontime"
"1200-1259","DH","EWR","IAD","5","delayed","ontime"
"0600-0659","DH","EWR","IAD","5","ontime","ontime"
"0700-0759","RU","EWR","DCA","5","ontime","ontime"
"1900-1959","RU","EWR","IAD","5","ontime","delayed"
"1300-1359","RU","EWR","IAD","5","ontime","ontime"
"0900-0959","RU","EWR","IAD","5","ontime","ontime"
"2100-2159","RU","EWR","DCA","5","ontime","ontime"
"1500-1559","RU","EWR","IAD","5","delayed","ontime"
"1500-1559","RU","EWR","DCA","5","ontime","ontime"
"1200-1259","DH","LGA","IAD","6","ontime","ontime"
"0600-0659","DH","LGA","IAD","6","ontime","ontime"
"0800-0859","DH","JFK","IAD","6","ontime","ontime"
"1200-1259","DH","JFK","IAD","6","ontime","ontime"
"1400-1459","DH","JFK","IAD","6","ontime","ontime"
"1700-1759","DH","JFK","IAD","6","ontime","ontime"
"1400-1459","DL","JFK","DCA","6","delayed","ontime"
"1400-1459","DL","LGA","DCA","6","ontime","ontime"
"2000-2059","DL","LGA","DCA","6","ontime","ontime"
"1500-1559","MQ","JFK","DCA","6","delayed","ontime"
"0600-0659","MQ","JFK","DCA","6","ontime","ontime"
"1800-1859","MQ","JFK","DCA","6","ontime","ontime"
"0900-0959","US","LGA","DCA","6","ontime","ontime"
"1100-1159","US","LGA","DCA","6","ontime","ontime"
"1700-1759","RU","EWR","BWI","6","ontime","ontime"
"1000-1059","RU","EWR","BWI","6","ontime","ontime"
"1700-1759","DH","EWR","IAD","6","ontime","ontime"
"1200-1259","DH","EWR","IAD","6","delayed","ontime"
"2100-2159","DH","EWR","IAD","6","ontime","ontime"
"0600-0659","DH","EWR","IAD","6","ontime","ontime"
"1700-1759","RU","EWR","IAD","6","ontime","ontime"
"0700-0759","RU","EWR","IAD","6","ontime","ontime"
"0900-0959","RU","EWR","DCA","6","ontime","ontime"
"1700-1759","RU","EWR","DCA","6","ontime","ontime"
"1600-1659","RU","EWR","DCA","6","ontime","ontime"
"0700-0759","RU","EWR","DCA","6","ontime","ontime"
"1400-1459","DH","LGA","IAD","7","delayed","ontime"
"0600-0659","DH","LGA","IAD","7","ontime","ontime"
"1000-1059","DH","LGA","IAD","7","ontime","ontime"
"1600-1659","DH","JFK","IAD","7","ontime","ontime"
"1700-1759","DH","JFK","IAD","7","ontime","delayed"
"2100-2159","DH","LGA","IAD","7","ontime","ontime"
"1400-1459","DL","JFK","DCA","7","ontime","ontime"
"0800-0859","DL","LGA","DCA","7","ontime","ontime"
"1000-1059","DL","LGA","DCA","7","ontime","ontime"
"1500-1559","MQ","JFK","DCA","7","delayed","ontime"
"0600-0659","MQ","JFK","DCA","7","ontime","ontime"
"0700-0759","MQ","JFK","DCA","7","ontime","ontime"
"1500-1559","MQ","LGA","DCA","7","delayed","ontime"
"0900-0959","US","LGA","DCA","7","ontime","ontime"
"1000-1059","US","LGA","DCA","7","ontime","ontime"
"1100-1159","US","LGA","DCA","7","ontime","ontime"
"1200-1259","US","LGA","DCA","7","ontime","ontime"
"1600-1659","US","LGA","DCA","7","ontime","ontime"
"2000-2059","US","LGA","DCA","7","ontime","ontime"
"1400-1459","RU","EWR","BWI","7","delayed","ontime"
"1600-1659","RU","EWR","BWI","7","delayed","ontime"
"1000-1059","RU","EWR","BWI","7","delayed","ontime"
"1600-1659","CO","EWR","DCA","7","delayed","ontime"
"0800-0859","DH","EWR","IAD","7","ontime","ontime"
"1700-1759","DH","EWR","IAD","7","delayed","ontime"
"1200-1259","DH","EWR","IAD","7","delayed","ontime"
"2100-2159","DH","EWR","IAD","7","delayed","ontime"
"1600-1659","DH","JFK","DCA","1","delayed","ontime"
"1200-1259","DH","LGA","IAD","1","delayed","ontime"
"1700-1759","DH","LGA","IAD","1","delayed","ontime"
"2100-2159","DH","JFK","IAD","1","delayed","ontime"
"0600-0659","DL","LGA","DCA","1","ontime","ontime"
"0700-0759","DL","LGA","DCA","1","ontime","ontime"
"0900-0959","DL","LGA","DCA","1","ontime","ontime"
"1400-1459","DL","LGA","DCA","1","ontime","ontime"
"0600-0659","MQ","JFK","DCA","1","ontime","ontime"
"0800-0859","MQ","LGA","DCA","1","ontime","ontime"
"0900-0959","MQ","LGA","DCA","1","ontime","ontime"
"1100-1159","MQ","LGA","DCA","1","ontime","ontime"
"1300-1359","MQ","LGA","DCA","1","ontime","ontime"
"1400-1459","US","LGA","DCA","1","ontime","ontime"
"1500-1559","US","LGA","DCA","1","ontime","ontime"
"1600-1659","US","LGA","DCA","1","ontime","ontime"
"2000-2059","US","LGA","DCA","1","ontime","ontime"
"0700-0759","RU","EWR","BWI","1","delayed","ontime"
"0800-0859","DH","EWR","IAD","1","ontime","ontime"
"1700-1759","DH","EWR","IAD","1","delayed","delayed"
"1200-1259","DH","EWR","IAD","1","delayed","ontime"
"2100-2159","DH","EWR","IAD","1","delayed","ontime"
"0600-0659","DH","EWR","IAD","1","ontime","ontime"
"1500-1559","RU","EWR","IAD","1","delayed","delayed"
"1200-1259","DH","LGA","IAD","2","ontime","ontime"
"1400-1459","DH","LGA","IAD","2","ontime","ontime"
"0600-0659","DH","LGA","IAD","2","ontime","ontime"
"1000-1059","DH","LGA","IAD","2","ontime","ontime"
"1400-1459","DH","JFK","IAD","2","ontime","ontime"
"1600-1659","DH","JFK","IAD","2","ontime","ontime"
"2100-2159","DH","JFK","IAD","2","delayed","ontime"
"1600-1659","DH","JFK","IAD","2","ontime","ontime"
"2100-2159","DH","LGA","IAD","2","ontime","ontime"
"0600-0659","DL","LGA","DCA","2","ontime","ontime"
"0700-0759","DL","LGA","DCA","2","ontime","ontime"
"0800-0859","DL","LGA","DCA","2","ontime","ontime"
"0900-0959","DL","LGA","DCA","2","ontime","ontime"
"1200-1259","DL","LGA","DCA","2","ontime","ontime"
"1300-1359","DL","LGA","DCA","2","ontime","ontime"
"1500-1559","DL","LGA","DCA","2","ontime","ontime"
"1800-1859","DL","LGA","DCA","2","ontime","ontime"
"1900-1959","DL","LGA","DCA","2","ontime","ontime"
"2000-2059","DL","LGA","DCA","2","ontime","ontime"
"1800-1859","MQ","JFK","DCA","2","ontime","ontime"
"0800-0859","MQ","LGA","DCA","2","ontime","ontime"
"1100-1159","MQ","LGA","DCA","2","ontime","ontime"
"1400-1459","MQ","LGA","DCA","2","ontime","ontime"
"1700-1759","MQ","LGA","DCA","2","ontime","ontime"
"0800-0859","UA","LGA","IAD","2","ontime","ontime"
"0900-0959","US","LGA","DCA","2","ontime","ontime"
"1100-1159","US","LGA","DCA","2","ontime","ontime"
"1300-1359","US","LGA","DCA","2","ontime","ontime"
"1500-1559","US","LGA","DCA","2","ontime","ontime"
"1700-1759","US","LGA","DCA","2","ontime","ontime"
"1800-1859","US","LGA","DCA","2","ontime","ontime"
"2000-2059","US","LGA","DCA","2","ontime","ontime"
"2100-2159","US","LGA","DCA","2","ontime","ontime"
"1700-1759","RU","EWR","BWI","2","delayed","ontime"
"1700-1759","CO","EWR","DCA","2","delayed","ontime"
"1300-1359","CO","EWR","DCA","2","ontime","ontime"
"1200-1259","DH","EWR","IAD","2","ontime","ontime"
"1400-1459","DH","EWR","IAD","2","ontime","ontime"
"0600-0659","DH","EWR","IAD","2","ontime","ontime"
"2100-2159","RU","EWR","DCA","2","delayed","ontime"
"1300-1359","RU","EWR","DCA","2","ontime","ontime"
"1600-1659","RU","EWR","DCA","2","ontime","ontime"
"1400-1459","OH","JFK","BWI","3","ontime","ontime"
"1400-1459","DH","LGA","IAD","3","ontime","ontime"
"0600-0659","DH","LGA","IAD","3","ontime","ontime"
"1200-1259","DH","JFK","IAD","3","ontime","ontime"
"1400-1459","DH","JFK","IAD","3","ontime","ontime"
"0800-0859","DL","LGA","DCA","3","ontime","ontime"
"1300-1359","DL","LGA","DCA","3","ontime","ontime"
"1500-1559","DL","LGA","DCA","3","ontime","ontime"
"2000-2059","DL","LGA","DCA","3","ontime","ontime"
"1500-1559","MQ","JFK","DCA","3","ontime","ontime"
"0700-0759","MQ","LGA","DCA","3","ontime","ontime"
"0800-0859","MQ","LGA","DCA","3","ontime","ontime"
"1500-1559","MQ","LGA","DCA","3","delayed","ontime"
"1900-1959","MQ","LGA","DCA","3","delayed","ontime"
"0900-0959","US","LGA","DCA","3","ontime","ontime"
"1000-1059","US","LGA","DCA","3","ontime","ontime"
"1300-1359","US","LGA","DCA","3","ontime","ontime"
"1500-1559","US","LGA","DCA","3","delayed","ontime"
"1600-1659","US","LGA","DCA","3","delayed","ontime"
"1700-1759","US","LGA","DCA","3","ontime","ontime"
"1900-1959","US","LGA","DCA","3","ontime","ontime"
"0700-0759","RU","EWR","BWI","3","ontime","ontime"
"1400-1459","RU","EWR","BWI","3","ontime","ontime"
"1700-1759","RU","EWR","BWI","3","delayed","ontime"
"1300-1359","CO","EWR","DCA","3","ontime","ontime"
"1700-1759","CO","EWR","DCA","3","delayed","ontime"
"0800-0859","DH","EWR","IAD","3","ontime","ontime"
"1200-1259","DH","EWR","IAD","3","delayed","ontime"
"0600-0659","DH","EWR","IAD","3","ontime","ontime"
"1500-1559","RU","EWR","IAD","3","delayed","ontime"
"0900-0959","RU","EWR","DCA","3","ontime","ontime"
"1900-1959","RU","EWR","IAD","3","delayed","ontime"
"0600-0659","RU","EWR","DCA","3","ontime","ontime"
"1600-1659","DH","JFK","DCA","4","delayed","ontime"
"1400-1459","DH","LGA","IAD","4","delayed","ontime"
"0600-0659","DH","LGA","IAD","4","ontime","ontime"
"1400-1459","DH","JFK","IAD","4","ontime","ontime"
"1600-1659","DH","JFK","IAD","4","ontime","ontime"
"1400-1459","DL","JFK","DCA","4","delayed","ontime"
"0800-0859","DL","LGA","DCA","4","ontime","ontime"
"1000-1059","DL","LGA","DCA","4","ontime","ontime"
"1200-1259","DL","LGA","DCA","4","ontime","ontime"
"1300-1359","DL","LGA","DCA","4","ontime","ontime"
"1400-1459","DL","LGA","DCA","4","ontime","ontime"
"1500-1559","DL","LGA","DCA","4","ontime","ontime"
"1600-1659","DL","LGA","DCA","4","ontime","ontime"
"1700-1759","DL","LGA","DCA","4","ontime","ontime"
"1900-1959","DL","LGA","DCA","4","ontime","ontime"
"0800-0859","MQ","LGA","DCA","4","ontime","ontime"
"0900-0959","MQ","LGA","DCA","4","ontime","ontime"
"1400-1459","MQ","LGA","DCA","4","ontime","ontime"
"1600-1659","MQ","LGA","DCA","4","ontime","ontime"
"0800-0859","US","LGA","DCA","4","ontime","ontime"
"1000-1059","US","LGA","DCA","4","ontime","ontime"
"1200-1259","US","LGA","DCA","4","ontime","ontime"
"1300-1359","US","LGA","DCA","4","ontime","ontime"
"1500-1559","US","LGA","DCA","4","ontime","ontime"
"1900-1959","US","LGA","DCA","4","delayed","ontime"
"2100-2159","US","LGA","DCA","4","ontime","ontime"
"1000-1059","RU","EWR","BWI","4","ontime","ontime"
"1700-1759","CO","EWR","DCA","4","ontime","ontime"
"0700-0759","CO","EWR","DCA","4","ontime","ontime"
"0800-0859","DH","EWR","IAD","4","ontime","ontime"
"1700-1759","DH","EWR","IAD","4","ontime","ontime"
"1400-1459","DH","EWR","IAD","4","ontime","ontime"
"0600-0659","RU","EWR","DCA","4","delayed","ontime"
"1300-1359","RU","EWR","DCA","4","ontime","ontime"
"0700-0759","RU","EWR","IAD","4","ontime","ontime"
"1500-1559","RU","EWR","DCA","4","ontime","ontime"
"1200-1259","DH","LGA","IAD","5","ontime","ontime"
"1400-1459","DH","LGA","IAD","5","delayed","ontime"
"1700-1759","DH","LGA","IAD","5","delayed","ontime"
"2100-2159","DH","LGA","IAD","5","ontime","ontime"
"1000-1059","DH","LGA","IAD","5","ontime","ontime"
"2100-2159","DH","JFK","IAD","5","ontime","ontime"
"0700-0759","DL","LGA","DCA","5","delayed","ontime"
"0900-0959","DL","LGA","DCA","5","ontime","ontime"
"1000-1059","DL","LGA","DCA","5","ontime","ontime"
"1500-1559","DL","LGA","DCA","5","ontime","ontime"
"1800-1859","DL","LGA","DCA","5","ontime","ontime"
"1900-1959","DL","LGA","DCA","5","ontime","ontime"
"0600-0659","MQ","JFK","DCA","5","ontime","ontime"
"0800-0859","MQ","LGA","DCA","5","delayed","ontime"
"0600-0659","US","LGA","DCA","5","ontime","ontime"
"0700-0759","US","LGA","DCA","5","ontime","ontime"
"0800-0859","US","LGA","DCA","5","ontime","ontime"
"1000-1059","US","LGA","DCA","5","ontime","ontime"
"1300-1359","US","LGA","DCA","5","ontime","ontime"
"1800-1859","US","LGA","DCA","5","ontime","ontime"
"2100-2159","US","LGA","DCA","5","ontime","ontime"
"1000-1059","RU","EWR","BWI","5","delayed","ontime"
"1300-1359","CO","EWR","DCA","5","ontime","ontime"
"0600-0659","DH","EWR","IAD","5","ontime","ontime"
"1500-1559","RU","EWR","DCA","5","ontime","ontime"
"1300-1359","RU","EWR","DCA","5","ontime","ontime"
"1500-1559","RU","EWR","IAD","5","ontime","ontime"
"0600-0659","RU","EWR","DCA","5","ontime","ontime"
"1400-1459","OH","JFK","BWI","6","ontime","ontime"
"0800-0859","DH","JFK","IAD","6","delayed","ontime"
"1800-1859","DH","JFK","IAD","6","ontime","ontime"
"0700-0759","DL","LGA","DCA","6","ontime","ontime"
"1200-1259","DL","LGA","DCA","6","ontime","ontime"
"1600-1659","DL","LGA","DCA","6","ontime","ontime"
"0800-0859","UA","LGA","IAD","6","ontime","ontime"
"0700-0759","US","LGA","DCA","6","ontime","ontime"
"1100-1159","US","LGA","DCA","6","ontime","ontime"
"1300-1359","US","LGA","DCA","6","ontime","ontime"
"1500-1559","US","LGA","DCA","6","ontime","ontime"
"0700-0759","RU","EWR","BWI","6","ontime","ontime"
"1700-1759","DH","EWR","IAD","6","ontime","ontime"
"2100-2159","DH","EWR","IAD","6","ontime","ontime"
"1700-1759","RU","EWR","IAD","6","ontime","ontime"
"1500-1559","RU","EWR","IAD","6","ontime","ontime"
"0600-0659","RU","EWR","DCA","6","ontime","ontime"
"1300-1359","RU","EWR","DCA","6","ontime","ontime"
"0900-0959","RU","EWR","DCA","6","ontime","ontime"
"1600-1659","DH","JFK","DCA","7","ontime","ontime"
"1200-1259","DH","LGA","IAD","7","ontime","ontime"
"1400-1459","DH","LGA","IAD","7","ontime","ontime"
"1400-1459","DH","JFK","IAD","7","delayed","delayed"
"1700-1759","DH","JFK","IAD","7","ontime","delayed"
"1600-1659","DH","JFK","IAD","7","ontime","ontime"
"1400-1459","DL","JFK","DCA","7","delayed","ontime"
"0800-0859","DL","LGA","DCA","7","ontime","ontime"
"1000-1059","DL","LGA","DCA","7","ontime","ontime"
"1500-1559","DL","LGA","DCA","7","ontime","ontime"
"1600-1659","DL","LGA","DCA","7","ontime","ontime"
"2000-2059","DL","LGA","DCA","7","ontime","ontime"
"1500-1559","MQ","JFK","DCA","7","ontime","ontime"
"0600-0659","MQ","JFK","DCA","7","ontime","ontime"
"1800-1859","MQ","JFK","DCA","7","delayed","ontime"
"1900-1959","MQ","LGA","DCA","7","ontime","ontime"
"0900-0959","US","LGA","DCA","7","ontime","ontime"
"1100-1159","US","LGA","DCA","7","ontime","ontime"
"1300-1359","RU","EWR","BWI","7","ontime","ontime"
"1400-1459","RU","EWR","BWI","7","ontime","ontime"
"1300-1359","CO","EWR","DCA","7","ontime","ontime"
"0800-0859","DH","EWR","IAD","7","ontime","ontime"
"1700-1759","DH","EWR","IAD","7","ontime","ontime"
"1200-1259","DH","EWR","IAD","7","ontime","ontime"
"2100-2159","RU","EWR","DCA","7","ontime","ontime"
"1700-1759","RU","EWR","IAD","7","ontime","ontime"
"1700-1759","RU","EWR","DCA","7","ontime","ontime"
"1300-1359","RU","EWR","DCA","7","ontime","ontime"
"1500-1559","RU","EWR","IAD","7","ontime","ontime"
"1700-1759","DH","LGA","IAD","1","ontime","ontime"
"2100-2159","DH","LGA","IAD","1","ontime","ontime"
"0800-0859","DH","JFK","IAD","1","ontime","ontime"
"1200-1259","DH","JFK","IAD","1","ontime","ontime"
"1600-1659","DH","JFK","IAD","1","ontime","ontime"
"1700-1759","DH","JFK","IAD","1","ontime","delayed"
"0600-0659","DL","LGA","DCA","1","ontime","ontime"
"1000-1059","DL","LGA","DCA","1","ontime","ontime"
"1300-1359","DL","LGA","DCA","1","ontime","ontime"
"2000-2059","DL","LGA","DCA","1","ontime","ontime"
"0600-0659","MQ","JFK","DCA","1","ontime","ontime"
"1800-1859","MQ","JFK","DCA","1","ontime","ontime"
"0700-0759","MQ","LGA","DCA","1","delayed","ontime"
"0900-0959","MQ","LGA","DCA","1","ontime","ontime"
"1300-1359","MQ","LGA","DCA","1","ontime","ontime"
"1700-1759","MQ","LGA","DCA","1","ontime","ontime"
"0800-0859","UA","LGA","IAD","1","ontime","ontime"
"0800-0859","US","LGA","DCA","1","ontime","ontime"
"1200-1259","US","LGA","DCA","1","ontime","ontime"
"1700-1759","US","LGA","DCA","1","delayed","ontime"
"1900-1959","US","LGA","DCA","1","ontime","ontime"
"0700-0759","RU","EWR","BWI","1","ontime","ontime"
"1000-1059","RU","EWR","BWI","1","ontime","ontime"
"1700-1759","CO","EWR","DCA","1","delayed","ontime"
"1900-1959","CO","EWR","DCA","1","ontime","delayed"
"1700-1759","DH","EWR","IAD","1","ontime","delayed"
"1200-1259","DH","EWR","IAD","1","delayed","ontime"
"0900-0959","RU","EWR","DCA","1","ontime","ontime"
"1500-1559","RU","EWR","DCA","1","ontime","ontime"
"1900-1959","RU","EWR","IAD","1","ontime","delayed"
"2100-2159","RU","EWR","DCA","1","ontime","ontime"
"0600-0659","RU","EWR","DCA","1","ontime","ontime"
"1600-1659","RU","EWR","DCA","1","ontime","ontime"
"1700-1759","DH","LGA","IAD","2","delayed","ontime"
"1000-1059","DH","LGA","IAD","2","ontime","ontime"
"1600-1659","DH","JFK","IAD","2","ontime","ontime"
"1700-1759","DH","JFK","IAD","2","ontime","ontime"
"0800-0859","DL","LGA","DCA","2","ontime","ontime"
"1000-1059","DL","LGA","DCA","2","ontime","ontime"
"1400-1459","DL","LGA","DCA","2","ontime","ontime"
"0600-0659","MQ","JFK","DCA","2","ontime","ontime"
"1800-1859","MQ","JFK","DCA","2","delayed","ontime"
"1500-1559","MQ","LGA","DCA","2","ontime","ontime"
"0800-0859","UA","LGA","IAD","2","ontime","ontime"
"0900-0959","US","LGA","DCA","2","ontime","ontime"
"1400-1459","US","LGA","DCA","2","ontime","ontime"
"1600-1659","US","LGA","DCA","2","delayed","ontime"
"1800-1859","US","LGA","DCA","2","ontime","ontime"
"1900-1959","US","LGA","DCA","2","ontime","ontime"
"1700-1759","RU","EWR","BWI","2","delayed","ontime"
"0800-0859","DH","EWR","IAD","2","ontime","ontime"
"1200-1259","DH","EWR","IAD","2","ontime","ontime"
"2100-2159","DH","EWR","IAD","2","ontime","ontime"
"0700-0759","RU","EWR","IAD","2","ontime","ontime"
"1700-1759","RU","EWR","IAD","2","ontime","ontime"
"1900-1959","RU","EWR","IAD","2","delayed","delayed"
"1500-1559","RU","EWR","DCA","2","ontime","ontime"
"1200-1259","DH","LGA","IAD","3","ontime","ontime"
"1700-1759","DH","LGA","IAD","3","ontime","ontime"
"0600-0659","DH","LGA","IAD","3","ontime","ontime"
"0800-0859","DH","JFK","IAD","3","ontime","ontime"
"1200-1259","DH","JFK","IAD","3","ontime","ontime"
"2100-2159","DH","JFK","IAD","3","ontime","ontime"
"1400-1459","DL","JFK","DCA","3","ontime","ontime"
"0900-0959","DL","LGA","DCA","3","ontime","ontime"
"1000-1059","DL","LGA","DCA","3","ontime","ontime"
"1200-1259","DL","LGA","DCA","3","ontime","ontime"
"1300-1359","DL","LGA","DCA","3","ontime","ontime"
"1400-1459","DL","LGA","DCA","3","ontime","ontime"
"1500-1559","DL","LGA","DCA","3","delayed","ontime"
"1800-1859","DL","LGA","DCA","3","ontime","ontime"
"2000-2059","DL","LGA","DCA","3","delayed","ontime"
"1500-1559","MQ","JFK","DCA","3","ontime","ontime"
"0800-0859","MQ","LGA","DCA","3","ontime","ontime"
"1300-1359","MQ","LGA","DCA","3","ontime","ontime"
"1600-1659","MQ","LGA","DCA","3","ontime","ontime"
"0900-0959","US","LGA","DCA","3","ontime","ontime"
"1100-1159","US","LGA","DCA","3","ontime","ontime"
"1500-1559","US","LGA","DCA","3","ontime","ontime"
"1700-1759","US","LGA","DCA","3","ontime","ontime"
"1800-1859","US","LGA","DCA","3","ontime","ontime"
"1900-1959","US","LGA","DCA","3","ontime","ontime"
"2000-2059","US","LGA","DCA","3","delayed","ontime"
"1400-1459","RU","EWR","BWI","3","ontime","ontime"
"1900-1959","CO","EWR","DCA","3","ontime","ontime"
"0700-0759","CO","EWR","DCA","3","ontime","ontime"
"1700-1759","DH","EWR","IAD","3","ontime","ontime"
"2100-2159","DH","EWR","IAD","3","delayed","ontime"
"1400-1459","DH","EWR","IAD","3","delayed","ontime"
"1700-1759","RU","EWR","IAD","3","ontime","ontime"
"0600-0659","RU","EWR","DCA","3","ontime","ontime"
"1500-1559","RU","EWR","DCA","3","ontime","ontime"
"2100-2159","RU","EWR","DCA","3","ontime","ontime"
"2100-2159","DH","LGA","IAD","4","delayed","ontime"
"0800-0859","DH","JFK","IAD","4","ontime","ontime"
"1700-1759","DH","JFK","IAD","4","ontime","ontime"
"1600-1659","DH","JFK","IAD","4","ontime","ontime"
"0700-0759","DL","LGA","DCA","4","delayed","ontime"
"1300-1359","DL","LGA","DCA","4","ontime","ontime"
"1500-1559","DL","LGA","DCA","4","ontime","ontime"
"1600-1659","DL","LGA","DCA","4","ontime","ontime"
"1800-1859","DL","LGA","DCA","4","ontime","ontime"
"1500-1559","MQ","JFK","DCA","4","ontime","ontime"
"1800-1859","MQ","JFK","DCA","4","ontime","ontime"
"0800-0859","MQ","LGA","DCA","4","delayed","ontime"
"1100-1159","MQ","LGA","DCA","4","ontime","ontime"
"1400-1459","MQ","LGA","DCA","4","ontime","ontime"
"1700-1759","MQ","LGA","DCA","4","delayed","ontime"
"0800-0859","UA","LGA","IAD","4","delayed","ontime"
"0600-0659","US","LGA","DCA","4","delayed","ontime"
"1200-1259","US","LGA","DCA","4","ontime","ontime"
"1500-1559","US","LGA","DCA","4","ontime","ontime"
"1800-1859","US","LGA","DCA","4","ontime","ontime"
"1700-1759","RU","EWR","BWI","4","delayed","ontime"
"1900-1959","CO","EWR","DCA","4","delayed","ontime"
"1300-1359","CO","EWR","DCA","4","ontime","ontime"
"0800-0859","DH","EWR","IAD","4","ontime","ontime"
"1200-1259","DH","EWR","IAD","4","ontime","ontime"
"2100-2159","DH","EWR","IAD","4","ontime","ontime"
"1300-1359","RU","EWR","IAD","4","delayed","ontime"
"1600-1659","RU","EWR","DCA","4","ontime","ontime"
"1500-1559","RU","EWR","IAD","4","ontime","ontime"
"1700-1759","DH","LGA","IAD","5","delayed","ontime"
"0800-0859","DH","JFK","IAD","5","ontime","ontime"
"2100-2159","DH","JFK","IAD","5","ontime","ontime"
"1400-1459","DL","JFK","DCA","5","delayed","ontime"
"0600-0659","DL","LGA","DCA","5","ontime","ontime"
"0700-0759","DL","LGA","DCA","5","ontime","ontime"
"0800-0859","DL","LGA","DCA","5","delayed","ontime"
"1000-1059","DL","LGA","DCA","5","delayed","ontime"
"1100-1159","DL","LGA","DCA","5","ontime","ontime"
"1200-1259","DL","LGA","DCA","5","ontime","ontime"
"1400-1459","DL","LGA","DCA","5","ontime","ontime"
"1500-1559","DL","LGA","DCA","5","ontime","ontime"
